city,keyword,name,address,phone,website,rating,business_status,types
Anderson,company,The Contracting Company,"5525 N Leslie Dr, Muncie, IN 47304, United States",(765) 273-2795,http://thecontractingcompany.net/,5,OPERATIONAL,"general_contractor, point_of_interest, establishment"
Anderson,company,The Guardian Brewing Co.,"514 E Jackson St, Muncie, IN 47305, United States",(765) 273-8150,https://guardian.beer/,4.7,OPERATIONAL,"bar, restaurant, point_of_interest, food, establishment"
Anderson,company,Elm Street Brewing Company,"519 N Elm St, Muncie, IN 47305, United States",(765) 273-2054,https://www.elmstbrewing.com/,4.5,OPERATIONAL,"bar, restaurant, point_of_interest, food, establishment"
Anderson,company,The Lotion Company,"1013 S Council St, Muncie, IN 47302, United States",N/A,https://www.thelotioncompany.com/,4.9,OPERATIONAL,"store, point_of_interest, establishment"
Anderson,company,Noodles and Company,"1416 W McGalliard Rd, Muncie, IN 47304, United States",(765) 288-9900,https://locations.noodles.com/in/muncie/1416-w-mcgalliard-rd?utm_campaign=soci&utm_medium=organic&utm_source=google,4.3,OPERATIONAL,"restaurant, meal_takeaway, store, point_of_interest, food, establishment"
Anderson,company,Muncie Aviation Company,"5201 N Walnut St, Muncie, IN 47303, United States",(765) 289-7141,http://www.muncieaviation.com/,4.6,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,South Central Company,"501 W Riggin Rd, Muncie, IN 47303, United States",(765) 284-6852,http://www.southcentralco.com/,4.5,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,DIY Group Inc,"2401 W 26th St, Muncie, IN 47302, United States",(800) 903-6610,http://www.diygroup.com/,3,OPERATIONAL,"storage, point_of_interest, establishment"
Anderson,company,American Electric Power Muncie,"5000 Wheeling Ave, Muncie, IN 47304, United States",(800) 672-2231,http://aep.com/,1.8,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,Indiana Ticket Co,"9610 N IN-67, Muncie, IN 47303, United States",(765) 288-8301,http://www.indianaticket.com/,3.9,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,Spartech Plastics,"1401 E Memorial Dr, Muncie, IN 47302, United States",(765) 281-5100,https://www.spartech.com/Locations,3.9,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,Muncie Novelty Company,"9610 IN-67, Muncie, IN 47303, United States",(800) 428-8640,http://muncienovelty.com/,4,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,Sinflex Paper Company,"301 S Butterfield Rd, Muncie, IN 47303, United States",(765) 216-6142,http://www.sinflexpaper.com/,5,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,IN Title Company,"200 E Washington St, Muncie, IN 47305, United States",(765) 286-4842,http://www.intitleco.com/,4.4,OPERATIONAL,"insurance_agency, point_of_interest, establishment"
Anderson,company,Indiana Oxygen Company,"3500 N Commerce Dr, Muncie, IN 47303, United States",(765) 289-2373,https://www.indianaoxygen.com/locations/muncie/,4.7,OPERATIONAL,"store, point_of_interest, establishment"
Anderson,company,Indiana American Water,"1420 S Burlington Dr, Muncie, IN 47302, United States",(800) 492-8373,http://www.amwater.com/,1.5,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,Trademark Title Inc - Muncie,"2008 W McGalliard Rd, Muncie, IN 47304, United States",(765) 216-7250,https://www.trademarktitleinc.com/content/contact,4.9,OPERATIONAL,"insurance_agency, point_of_interest, establishment"
Anderson,company,Overhead Door Company of Muncie,"7200 IN-3, Muncie, IN 47303, United States",(765) 587-1444,https://www.overheaddoormuncie.com/?utm_source=google&utm_medium=organic&utm_campaign=listings,4.8,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,Ox Industries Eaton Mill,"800 S Romy St, Eaton, IN 47338, United States",(765) 396-3317,http://www.oxindustries.com/,3.2,OPERATIONAL,"point_of_interest, establishment"
Anderson,company,"Duncan Supply Company, Inc.","601 E 15th St, Muncie, IN 47302, United States",(765) 288-5549,http://www.duncansupply.com/,5,OPERATIONAL,"point_of_interest, establishment"
